pno,country,Voluntary,Immediacy,ExposedKnowledge,ScienceKnowledge,Control,New,CommonDread,ChronicCat,Severity
1,AU,3,2,3,5,3,3,4,2,4
2,AU,4,1,1,5,5,2,5,5,4
3,AU,5,3,4,5,5,2,3,1,5
4,AU,3,4,3,5,3,3,4,3,4
5,AU,3,4,2,5,4,2,2,5,5
6,AU,4,5,3,4,3,2,5,1,4
7,AU,4,5,2,4,3,4,4,3,2
8,AU,5,2,1,5,3,4,4,3,5
9,AU,2,4,3,4,4,3,3,3,4
10,AU,2,4,2,5,4,4,4,4,5
11,AU,3,4,3,5,3,3,4,2,2
12,AU,2,5,4,5,4,2,5,5,5
13,AU,5,5,2,5,5,4,4,4,5
14,AU,2,3,2,4,3,4,4,4,4
15,AU,2,3,4,5,3,3,3,3,4
16,AU,3,3,2,4,3,3,4,4,4
17,AU,2,2,2,5,3,3,5,3,5
18,AU,4,2,4,5,4,2,3,5,4
19,AU,2,5,3,5,5,4,5,4,4
20,AU,2,3,1,5,3,3,4,1,2
21,AU,4,4,2,5,3,3,4,3,5
22,AU,3,4,2,5,3,4,4,3,5
23,AU,4,4,2,5,4,4,4,3,5
24,AU,3,5,2,5,3,1,4,3,4
25,AU,1,5,5,1,1,5,3,4,4
26,AU,3,2,2,4,3,2,4,3,4
27,AU,2,3,2,4,3,3,2,2,5
28,AU,4,5,3,5,4,1,5,3,5
29,AU,3,4,3,5,3,2,4,3,5
30,AU,1,5,2,4,4,5,5,5,5
31,AU,4,5,3,5,4,2,2,2,5
32,AU,1,5,3,4,3,1,5,3,5
33,AU,2,4,4,5,4,4,4,2,5
34,AU,3,4,2,4,3,3,4,3,4
35,AU,4,4,2,3,3,2,4,3,4
36,AU,3,4,2,5,3,3,5,3,5
37,AU,3,4,2,4,3,3,4,3,5
38,AU,1,5,3,5,4,3,4,2,5
39,AU,5,4,4,5,1,2,2,2,5
40,AU,2,2,3,4,3,4,3,3,4
41,AU,3,4,2,5,4,1,5,2,4
42,AU,3,5,2,4,3,3,3,3,4
43,AU,3,5,4,5,2,1,4,5,5
44,AU,3,4,2,4,2,2,5,1,4
45,AU,3,5,3,5,3,3,2,3,5
46,AU,4,4,2,5,3,3,4,5,5
47,AU,3,5,2,5,5,3,5,4,5
48,AU,2,4,2,4,3,4,5,5,5
49,AU,3,5,3,5,2,5,4,5,5
50,AU,3,3,2,4,3,4,4,5,5
51,NZ,3,4,2,5,3,5,5,2,5
52,NZ,3,4,3,5,3,3,4,2,2
53,NZ,3,4,2,5,2,4,5,1,4
54,NZ,3,3,1,4,2,3,5,2,4
55,NZ,4,5,2,5,3,2,2,4,5
56,NZ,1,2,2,4,5,4,4,2,5
57,NZ,3,4,2,5,3,3,4,3,4
58,NZ,2,4,3,5,3,2,2,3,4
59,NZ,3,4,2,2,2,4,3,3,4
60,NZ,3,4,3,5,3,3,4,3,5
61,NZ,4,4,2,4,3,3,5,3,4
62,NZ,2,5,4,5,4,4,4,3,4
63,NZ,3,4,4,5,3,3,3,4,4
64,NZ,1,3,2,4,3,3,2,1,4
65,NZ,2,3,2,4,3,3,3,3,4
66,NZ,2,5,2,4,3,4,4,4,5
67,NZ,2,4,3,2,2,2,4,2,3
68,NZ,2,3,2,4,4,4,3,2,5
69,NZ,2,4,2,5,3,3,4,3,4
70,NZ,3,4,1,4,3,1,2,5,5
71,NZ,2,4,2,2,2,1,4,5,3
72,NZ,5,5,1,5,1,1,5,2,5
73,NZ,3,4,3,5,3,3,5,5,4
74,NZ,4,4,3,5,3,4,5,3,4
75,NZ,2,5,3,5,4,3,5,2,4
76,NZ,2,3,4,4,2,3,2,2,3
77,NZ,2,2,3,4,3,4,4,3,4
78,NZ,4,2,2,5,3,3,3,1,5
79,NZ,4,4,3,5,3,4,3,2,4
80,NZ,3,4,3,5,4,2,5,4,5
81,NZ,4,5,3,5,3,3,4,3,5
82,NZ,1,4,3,5,4,4,5,2,5
83,NZ,4,2,2,5,3,2,3,3,4
84,NZ,1,4,2,5,3,3,5,3,5
85,NZ,3,2,3,5,3,4,4,3,3
86,NZ,3,3,3,4,1,2,5,2,5
87,NZ,2,4,2,5,3,3,4,2,5
88,NZ,4,5,2,4,3,2,4,4,5
89,NZ,2,4,2,5,3,3,3,2,4
90,NZ,3,3,4,5,5,3,2,2,3
91,NZ,4,4,3,4,3,2,3,3,2
92,NZ,4,4,3,4,4,4,5,2,5
93,NZ,3,3,3,5,3,3,4,3,5
94,NZ,4,5,2,4,3,2,4,5,4
95,NZ,4,5,2,4,3,2,3,4,5
96,NZ,3,3,3,5,3,3,4,3,5
97,NZ,4,4,2,5,3,4,4,4,5
98,NZ,3,5,2,4,3,3,4,3,4
99,NZ,2,4,2,5,3,2,5,2,5
100,NZ,5,4,3,5,3,4,5,3,5
101,NZ,4,3,2,5,5,3,4,5,5
102,CA,5,5,3,5,2,4,4,3,5
103,CA,2,2,3,5,4,3,5,2,4
104,CA,3,4,2,4,3,3,5,4,5
105,CA,4,4,2,5,3,2,4,3,5
106,CA,4,4,3,5,3,3,4,2,4
107,CA,2,4,2,4,2,3,5,3,5
108,CA,1,4,3,5,3,3,5,2,5
109,CA,5,5,2,5,2,3,5,1,4
110,CA,5,5,3,5,3,5,5,3,5
111,CA,1,5,3,5,4,3,5,4,4
112,CA,4,4,2,5,3,1,4,3,4
113,CA,1,4,2,5,2,4,5,5,5
114,CA,3,5,3,5,5,1,1,5,5
115,CA,2,5,3,5,4,2,5,3,5
116,CA,3,5,3,4,3,3,4,3,4
117,CA,2,2,2,4,2,2,3,2,4
118,CA,3,4,1,5,3,4,4,4,5
119,CA,4,4,3,5,3,4,5,5,4
120,CA,2,3,2,4,3,4,2,1,5
121,CA,3,4,2,5,4,4,4,1,4
122,CA,3,2,2,4,3,2,4,2,4
123,CA,1,4,4,5,1,2,1,3,5
124,CA,2,5,2,5,2,4,4,2,4
125,CA,1,5,2,5,3,3,4,2,1
126,CA,3,4,3,4,2,3,4,3,4
127,CA,3,5,2,5,3,4,4,5,5
128,CA,4,4,3,4,3,3,4,4,5
129,CA,3,2,2,5,3,3,5,5,4
130,CA,2,2,2,5,3,3,2,2,5
131,CA,1,4,3,5,3,2,5,4,5
132,CA,3,4,1,5,2,3,4,3,4
133,CA,3,4,3,4,3,3,4,4,4
134,CA,5,4,2,3,4,4,5,3,5
135,CA,1,5,2,4,1,3,5,3,5
136,CA,3,4,3,4,3,3,4,1,4
137,CA,4,4,3,4,4,4,5,3,5
138,CA,3,5,2,5,3,2,5,4,4
139,CA,4,5,2,5,4,3,5,4,5
140,CA,2,4,4,5,3,2,4,3,5
141,CA,3,5,2,5,3,3,5,5,5
142,CA,4,5,2,5,3,3,5,2,4
143,CA,3,5,2,5,3,4,3,4,5
144,CA,2,3,3,5,4,3,4,4,5
145,CA,4,3,1,4,2,3,2,3,4
146,CA,4,4,3,4,4,3,5,3,5
147,CA,3,4,2,5,3,2,2,1,3
148,CA,3,4,3,5,3,3,4,3,5
149,CA,3,2,2,5,3,2,3,3,4
150,CA,3,2,2,5,4,4,4,3,4
151,CA,2,2,3,5,5,3,4,3,4
152,UK,2,2,3,4,3,2,5,2,5
153,UK,3,2,2,5,3,4,4,2,4
154,UK,4,4,4,5,3,3,4,5,5
155,UK,5,4,2,5,3,1,2,1,3
156,UK,2,4,3,5,4,3,5,2,4
157,UK,1,3,3,4,3,3,4,2,4
158,UK,3,2,2,5,3,4,5,4,5
159,UK,2,2,2,5,4,2,2,1,4
160,UK,2,4,2,4,3,3,5,3,2
161,UK,2,4,2,5,3,3,5,3,5
162,UK,4,3,2,4,3,4,4,2,3
163,UK,2,2,2,5,3,2,5,1,4
164,UK,2,4,2,4,3,2,5,3,4
165,UK,3,3,4,5,3,4,4,4,4
166,UK,2,5,3,5,3,3,5,2,5
167,UK,3,4,1,5,3,4,3,2,4
168,UK,2,4,3,4,3,3,4,3,5
169,UK,2,4,2,4,3,3,3,1,4
170,UK,2,4,2,4,3,4,4,3,4
171,UK,2,4,3,4,3,2,4,3,5
172,UK,2,5,3,5,3,3,5,4,5
173,UK,2,4,4,5,4,2,5,2,5
174,UK,2,4,3,4,3,4,5,5,4
175,UK,3,4,1,5,1,3,4,3,5
176,UK,3,4,2,5,3,4,4,2,4
177,UK,3,4,3,5,4,3,4,1,5
178,UK,1,5,3,5,3,3,5,4,5
179,UK,2,4,3,4,2,3,4,3,4
180,UK,2,4,3,5,3,3,4,4,5
181,UK,3,4,2,5,3,3,4,4,5
182,UK,2,4,3,5,3,3,4,2,5
183,UK,3,4,3,5,3,3,4,2,5
184,UK,4,5,2,5,3,4,5,3,5
185,UK,4,4,3,4,2,3,4,2,4
186,UK,4,5,3,4,3,4,4,2,4
187,UK,3,4,2,4,2,3,5,3,4
188,UK,1,5,2,5,3,3,5,3,5
189,UK,3,4,3,5,3,4,5,4,4
190,UK,2,4,3,5,3,4,4,2,4
191,UK,1,5,1,2,5,4,5,5,5
192,UK,2,4,2,5,4,3,4,3,4
193,UK,3,3,2,4,3,4,4,3,3
194,UK,2,4,3,4,3,4,5,3,4
195,UK,3,4,2,5,2,4,4,3,4
196,UK,2,4,3,4,3,3,4,2,5
197,UK,3,4,3,4,3,4,3,3,3
198,UK,4,2,2,5,3,4,3,3,5
199,UK,1,4,2,4,4,4,4,3,2
200,UK,2,3,2,5,2,4,3,4,4
201,UK,4,5,2,4,3,2,4,3,4
202,US,4,4,2,4,4,3,4,5,4
203,US,2,5,2,4,3,4,3,3,4
204,US,1,4,1,5,2,2,3,4,5
205,US,2,4,4,5,3,4,4,2,4
206,US,1,3,2,5,3,4,5,2,3
207,US,2,4,3,5,3,4,3,3,4
208,US,1,5,2,2,3,1,5,3,1
209,US,3,4,3,5,3,4,4,4,3
210,US,4,4,2,4,3,3,4,3,5
211,US,3,4,2,5,3,4,4,2,4
212,US,3,4,4,5,3,3,4,3,5
213,US,2,4,2,5,2,4,4,5,4
214,US,3,4,3,5,3,3,4,2,5
215,US,2,4,2,4,4,3,4,4,5
216,US,4,4,2,5,2,2,3,2,4
217,US,2,5,2,5,3,4,5,3,5
218,US,2,5,2,5,5,1,5,5,5
219,US,1,4,2,5,3,1,5,4,5
220,US,2,4,2,5,4,3,5,3,4
221,US,4,4,2,5,4,2,5,2,4
222,US,2,4,3,4,3,4,5,5,5
223,US,3,3,3,5,3,3,4,3,5
224,US,3,4,2,4,4,3,3,2,2
225,US,4,5,3,5,4,4,5,4,4
226,US,4,5,2,5,4,5,4,3,5
227,US,2,4,3,5,2,4,5,1,5
228,US,3,4,3,5,3,3,5,3,4
229,US,2,4,2,5,3,2,4,4,5
230,US,3,4,2,5,3,3,5,2,5
231,US,2,4,3,5,2,3,4,2,4
232,US,3,3,2,5,3,4,4,3,4
233,US,4,4,3,5,4,2,4,1,2
234,US,3,4,3,4,3,3,4,2,4
235,US,1,4,3,5,4,3,4,3,5
236,US,3,4,2,4,4,4,3,2,5
237,US,2,4,2,4,3,3,4,4,5
238,US,3,4,3,5,2,4,5,4,4
239,US,4,5,2,5,2,4,5,4,5
240,US,4,5,3,5,3,2,5,3,5
241,US,3,4,3,4,3,4,4,3,4
242,US,3,2,3,4,3,3,4,5,4
243,US,3,5,2,5,3,3,4,2,4
244,US,4,4,1,4,3,3,3,3,4
245,US,3,4,3,5,3,4,4,3,5
246,US,3,5,2,5,2,3,5,4,4
247,US,2,4,2,5,3,2,2,3,4
248,US,4,2,4,5,3,2,5,3,4
249,US,3,4,2,5,4,1,4,1,5
250,US,1,4,2,4,5,3,4,4,4
